id,case,arm,task,rep,hidden,minutes,cost_usd,user_replies
c2-B-t4-r1,2,B,t4,1,"FAILED (failures=1, errors=4)",5.87,1.1762,0
c2-B-t5-r1,2,B,t5,1,OK,4.17,2.3457,1
c2-B-t6-r1,2,B,t6,1,OK,2.85,2.1328,1
c2-B-t7-r1,2,B,t7,1,FAILED (failures=5),2.12,1.1522,0
c2-C-t1-r1,2,C,t1,1,FAILED (failures=2),3.1,1.5633,1
c2-C-t2-r1,2,C,t2,1,OK,6.34,2.5438,1
c2-C-t3-r1,2,C,t3,1,OK,0.72,0.8655,0
c2-C-t4-r1,2,C,t4,1,OK,2.48,1.3146,1
c2-C-t5-r1,2,C,t5,1,FAILED (failures=1),2.71,1.648,1
c2-C-t6-r1,2,C,t6,1,OK,1.99,1.1857,1
c2-C-t7-r1,2,C,t7,1,OK,3.27,2.3454,2
c2-D-t1-r1,2,D,t1,1,OK,4.49,2.731,3
c2-D-t2-r1,2,D,t2,1,OK,4.32,2.0539,1
c2-D-t3-r1,2,D,t3,1,OK,0.77,0.7988,0
c2-D-t4-r1,2,D,t4,1,OK,2.12,1.2668,1
c2-D-t5-r1,2,D,t5,1,OK,3.01,1.7553,1
c2-D-t6-r1,2,D,t6,1,OK,2.24,1.4579,1
c2-D-t7-r1,2,D,t7,1,OK,3.62,1.599,1
c2-G-t1-r1,2,G,t1,1,OK,3.94,1.603,1
c2-G-t1-r2,2,G,t1,2,OK,2.95,1.1815,1
c2-G-t2-r1,2,G,t2,1,FAILED (failures=2),4.26,1.7944,1
c2-G-t2-r2,2,G,t2,2,FAILED (failures=1),3.6,1.5343,1
c2-G-t3-r1,2,G,t3,1,OK,0.39,0.4831,0
c2-G-t3-r2,2,G,t3,2,OK,0.43,0.5231,0
c2-G-t4-r1,2,G,t4,1,OK,2.1,0.9595,1
c2-G-t4-r2,2,G,t4,2,OK,2.04,0.9674,1
c2-G-t5-r1,2,G,t5,1,OK,3.17,1.3783,1
c2-G-t5-r2,2,G,t5,2,OK,3.64,1.5183,1
c2-G-t6-r1,2,G,t6,1,OK,2.32,1.0703,1
c2-G-t6-r2,2,G,t6,2,OK,1.94,1.0244,1
c2-G-t7-r1,2,G,t7,1,OK,2.71,1.5717,2
c2-G-t7-r2,2,G,t7,2,OK,3.19,1.2236,1
